value,filter,filter
3592.2,3592.873023,-0.506544211
3592.2,3592.905835,-0.435608606
3592.2,3592.936804,-0.371851786
3592,3592.964166,-0.502623133
3592.2,3592.986506,-0.240420313
3591,3593.002561,-1.323880074
3592.2,3593.01105,-0.017300873
3591.4,3593.011034,-0.744504
3591,3593.001926,-1.005981415
3592,3592.983223,0.084497282
3592,3592.955047,0.105453281
3590.4,3592.918018,-1.380428064
3590.4,3592.872087,-1.178912258
3590.2,3592.81644,-1.180854262
3590,3592.750279,-1.174116458
3590,3592.673117,-0.971681095
3588.6,3592.584528,-2.100459874
3588.6,3592.48368,-1.765037318
3588,3592.369377,-2.018567024
3588,3592.240554,-1.662257483
3588,3592.096606,-1.333804453
3586.8,3591.937328,-2.158915578
3586.8,3591.762465,-1.740997803
3586.6,3591.571714,-1.544235821
3586.8,3591.365251,-0.980131517
3586.8,3591.144003,-0.659416685
3586.4,3590.909476,-0.743352132
3586.6,3590.66344,-0.244267911
3586,3590.40775,-0.549338854
3586.2,3590.14425,-0.058686023
3586,3589.874787,0.003230569
3585.2,3589.601123,-0.501223649
3586.6,3589.324917,1.128101169
3585.2,3589.048053,-0.068429311
3586.8,3588.772681,1.698423715
3585.2,3588.501001,0.242996584
3585.8,3588.234926,1.027530062
3585.8,3587.975953,1.152043695
3587.6,3587.725948,2.947132372
3585.8,3587.487479,1.130597941
3586,3587.262698,1.400913802
3587.6,3587.052991,2.945852819
3587.6,3586.860191,2.785628604
3587.6,3586.686701,2.624699888
3588,3586.534611,2.839349806
3587.6,3586.405413,2.256080299
3587.4,3586.299827,1.911956386
3585.8,3586.217305,0.27825403
3585.8,3586.155666,0.336422417
3586.8,3586.111879,1.322681745
3585.8,3586.08327,0.302632014
3587,3586.067663,1.464795971
3585.8,3586.063129,0.222788677
3585.8,3586.067655,0.250307736
3587,3586.079163,1.397154024
3587,3586.096352,1.268606071
3586.2,3586.118641,0.391576349
3586.8,3586.145273,0.926781034
3585.8,3586.175139,-0.113974151
3585.8,3586.206801,-0.095291944
3586,3586.238552,0.106313282
3585.6,3586.268831,-0.283533386
3585.4,3586.296234,-0.440790907
3585.6,3586.319393,-0.203860084
3585.6,3586.33723,-0.184435046
3585.4,3586.349062,-0.356925723
